Input	Output
2911  1.99021526418787     0.038216560509553486	2912  1.99021526418787      0.03514376996804985
2912  1.99021526418787      0.03514376996804985	2913  1.99021526418787     0.031847133757961506
2913  1.99021526418787     0.031847133757961506	2914  1.99021526418787      0.02875399361022436
2914  1.99021526418787      0.02875399361022436	2915  1.99021526418787      0.02564102564102737
2915  1.99021526418787      0.02564102564102737	2916  1.99021526418787     0.022364217252397244
2916  1.99021526418787     0.022364217252397244	2917  1.99021526418787     0.022364217252397244
2917  1.99021526418787     0.022364217252397244	2918  1.99021526418787     0.019230769230769693
2918  1.99021526418787     0.019230769230769693	2919  1.99021526418787     0.019230769230769693
2919  1.99021526418787     0.019230769230769693	2920  1.99021526418787      0.01587301587301567
2920  1.99021526418787      0.01587301587301567	2921  1.99021526418787     0.012820512820512013
2921  1.99021526418787     0.012820512820512013	2922  1.99021526418787      0.00958466453673977
2922  1.99021526418787      0.00958466453673977	2923  1.99021526418787     0.006369426751592031
2923  1.99021526418787     0.006369426751592031	2924  1.99021526418787     0.006369426751592031
2924  1.99021526418787     0.006369426751592031	2925  1.99021526418787     0.003194888178912779
2925  1.99021526418787     0.003194888178912779	2926  1.99021526418787  -1.5899525150109566e-15
2926  1.99021526418787  -1.5899525150109566e-15	2927  1.99021526418787    -0.006410256410257681
2927  1.99021526418787    -0.006410256410257681	2928  1.99021526418787    -0.012738853503184083
2928  1.99021526418787    -0.012738853503184083	2929  1.99021526418787    -0.012820512820512086
2929  1.99021526418787    -0.012820512820512086	2930  1.99021526418787    -0.019230769230768198
2930  1.99021526418787    -0.019230769230768198	2931  1.99021526418787    -0.016077170418006343
2931  1.99021526418787    -0.016077170418006343	2932  1.99021526418787     -0.02236421725239576
2932  1.99021526418787     -0.02236421725239576	2933  1.99021526418787    -0.028938906752410756
2933  1.99021526418787    -0.028938906752410756	2934  1.99021526418787    -0.032051282051281854
2934  1.99021526418787    -0.032051282051281854	2935  1.99021526418787    -0.035369774919614606
2935  1.99021526418787    -0.035369774919614606	2936  1.99021526418787     -0.03870967741935429
2936  1.99021526418787     -0.03870967741935429	2937  1.99021526418787     -0.03870967741935429
2937  1.99021526418787     -0.03870967741935429	2938  1.99021526418787    -0.045161290322579685
2938  1.99021526418787    -0.045161290322579685	2939  1.99021526418787     -0.04823151125401887
2939  1.99021526418787     -0.04823151125401887	2940  1.99021526418787    -0.048543689320388064
2940  1.99021526418787    -0.048543689320388064	2941  1.99021526418787     -0.05128205128205147
2941  1.99021526418787     -0.05128205128205147	2942  1.99021526418787     -0.05466237942122273
2942  1.99021526418787     -0.05466237942122273	2943  1.99021526418787    -0.058064516129032025
2943  1.99021526418787    -0.058064516129032025	2944  2.13111545988258     -0.07096774193548469
2944  2.13111545988258     -0.07096774193548469	2945  2.13111545988258     -0.07096774193548469
2945  2.13111545988258     -0.07096774193548469	2946  2.13111545988258    -0.051612903225808304
2946  2.13111545988258    -0.051612903225808304	2947  2.13111545988258     -0.04545454545454617
2947  2.13111545988258     -0.04545454545454617	2948  2.07827788649706     -0.04516129032258137
2948  2.07827788649706     -0.04516129032258137	2949  2.07827788649706     -0.03870967741935429
2949  2.07827788649706     -0.03870967741935429	2950  1.99021526418787    -0.055016181229772684
2950  1.99021526418787    -0.055016181229772684	2951  1.99021526418787    -0.058064516129032025
2951  1.99021526418787    -0.058064516129032025	2952  1.99021526418787     -0.05844155844155834
2952  1.99021526418787     -0.05844155844155834	2953  1.99021526418787     -0.06188925081433284
2953  1.99021526418787     -0.06188925081433284	2954  1.99021526418787     -0.06796116504854542
2954  1.99021526418787     -0.06796116504854542	2955  1.99021526418787     -0.05769230769230916
2955  1.99021526418787     -0.05769230769230916	2956  1.99021526418787     -0.06070287539936158
2956  1.99021526418787     -0.06070287539936158	2957  1.99021526418787     -0.06410256410256357
2957  1.99021526418787     -0.06410256410256357	2958  1.99021526418787     -0.06410256410256357
2958  1.99021526418787     -0.06410256410256357	2959  1.99021526418787     -0.06410256410256357
2959  1.99021526418787     -0.06410256410256357	2960  1.99021526418787     -0.06410256410256357
2960  1.99021526418787     -0.06410256410256357	2961  1.99021526418787       -0.067092651757187
2961  1.99021526418787       -0.067092651757187	2962  1.99021526418787       -0.067092651757187
2962  1.99021526418787       -0.067092651757187	2963  1.99021526418787     -0.07051282051281968
2963  1.99021526418787     -0.07051282051281968	2964  1.99021526418787     -0.07051282051281968
2964  1.99021526418787     -0.07051282051281968	2965  1.99021526418787       -0.070063694267515
2965  1.99021526418787       -0.070063694267515	2966  1.99021526418787       -0.070063694267515
2966  1.99021526418787       -0.070063694267515	2967  1.99021526418787       -0.070063694267515
2967  1.99021526418787       -0.070063694267515	2968  1.99021526418787       -0.070063694267515
2968  1.99021526418787       -0.070063694267515	2969  1.99021526418787     -0.06070287539936158
2969  1.99021526418787     -0.06070287539936158	2970  1.99021526418787     -0.05769230769230916
2970  1.99021526418787     -0.05769230769230916	2971  1.99021526418787     -0.05769230769230916
2971  1.99021526418787     -0.05769230769230916	2972  1.99021526418787     -0.05769230769230916
2972  1.99021526418787     -0.05769230769230916	2973  1.99021526418787     -0.05769230769230916
2973  1.99021526418787     -0.05769230769230916	2974  2.07827788649706     -0.03896103896103846
2974  2.07827788649706     -0.03896103896103846	2975  2.07827788649706    -0.029315960912051266
2975  2.07827788649706    -0.029315960912051266	2976  2.07827788649706    -0.025974025974024467
2976  2.07827788649706    -0.025974025974024467	2977  1.99021526418787    -0.028938906752412313
2977  1.99021526418787    -0.028938906752412313	2978  1.99021526418787    -0.025806451612903347
2978  1.99021526418787    -0.025806451612903347	2979  1.99021526418787    -0.016077170418006267
2979  1.99021526418787    -0.016077170418006267	2980  1.99021526418787    -0.016077170418006267
2980  1.99021526418787    -0.016077170418006267	2981  1.99021526418787    -0.012903225806450817
2981  1.99021526418787    -0.012903225806450817	2982  1.99021526418787    -0.006410256410256091
2982  1.99021526418787    -0.006410256410256091	2983  1.99021526418787    -0.003194888178912779
2983  1.99021526418787    -0.003194888178912779	2984  1.99021526418787    -0.003215434083600325
2984  1.99021526418787    -0.003215434083600325	2985  1.99021526418787    0.0032154340836019254
2985  1.99021526418787    0.0032154340836019254	2986  1.99021526418787    0.0032154340836019254
2986  1.99021526418787    0.0032154340836019254	2987  1.99021526418787     0.006410256410256091
2987  1.99021526418787     0.006410256410256091	2988  1.99021526418787     0.006369426751592031
2988  1.99021526418787     0.006369426751592031	2989  1.99021526418787      0.01273885350318565
2989  1.99021526418787      0.01273885350318565	2990  1.99021526418787     0.015974440894570275
2990  1.99021526418787     0.015974440894570275	2991  1.99021526418787     0.022364217252395614
2991  1.99021526418787     0.022364217252395614	2992  1.99021526418787     0.022364217252395614
2992  1.99021526418787     0.022364217252395614	2993  1.99021526418787       0.0256410256410241
2993  1.99021526418787       0.0256410256410241	2994  1.99021526418787      0.03205128205128178
2994  1.99021526418787      0.03205128205128178	2995  1.99021526418787      0.03536977491961453
2995  1.99021526418787      0.03536977491961453	2996  1.99021526418787      0.03536977491961453
2996  1.99021526418787      0.03536977491961453	2997  1.99021526418787       0.0415335463258786
2997  1.99021526418787       0.0415335463258786	2998  1.99021526418787     0.050955414012737545
2998  1.99021526418787     0.050955414012737545	2999  1.99021526418787     0.050955414012737545
2999  1.99021526418787     0.050955414012737545	3000  1.99021526418787     0.054313099041532906
3000  1.99021526418787     0.054313099041532906	3001  1.99021526418787      0.06070287539936165
3001  1.99021526418787      0.06070287539936165	3002  1.99021526418787      0.06709265175718862
3002  1.99021526418787      0.06709265175718862	3003  1.99021526418787      0.07006369426751516
3003  1.99021526418787      0.07006369426751516	3004  1.99021526418787      0.07006369426751516
3004  1.99021526418787      0.07006369426751516	3005  1.99021526418787      0.07936507936508044
3005  1.99021526418787      0.07936507936508044	3006  1.99021526418787      0.08280254777070059
3006  1.99021526418787      0.08280254777070059	3007  1.99021526418787      0.08626198083067156
3007  1.99021526418787      0.08626198083067156	3008  1.99021526418787      0.08917197452229414
3008  1.99021526418787      0.08917197452229414	3009  1.99021526418787      0.09554140127388448
3009  1.99021526418787      0.09554140127388448	3010  1.99021526418787      0.09841269841269669
3010  1.99021526418787      0.09841269841269669	3011  1.99021526418787      0.09841269841269669
3011  1.99021526418787      0.09841269841269669	3012  1.99021526418787      0.10828025477707022
3012  1.99021526418787      0.10828025477707022	3013  1.99021526418787      0.11111111111111183
3013  1.99021526418787      0.11111111111111183	3014  1.99021526418787      0.11464968152866384
3014  1.99021526418787      0.11464968152866384	3015  1.99021526418787      0.11464968152866384
3015  1.99021526418787      0.11464968152866384	3016  1.99021526418787      0.12025316455696163
3016  1.99021526418787      0.12025316455696163	3017  1.99021526418787      0.11464968152866384
3017  1.99021526418787      0.11464968152866384	3018  1.99021526418787      0.11464968152866384
3018  1.99021526418787      0.11464968152866384	3019  1.99021526418787      0.11821086261980858
3019  1.99021526418787      0.11821086261980858	3020  1.99021526418787      0.12380952380952227
3020  1.99021526418787      0.12380952380952227	3021  1.99021526418787      0.12101910828025415
3021  1.99021526418787      0.12101910828025415	3022  1.99021526418787     -0.05769230769230916
3022  1.99021526418787     -0.05769230769230916	3023  1.99021526418787     -0.05769230769230916
3023  1.99021526418787     -0.05769230769230916	3024  1.99021526418787     -0.05431309904153442
3024  1.99021526418787     -0.05431309904153442	3025  1.99021526418787     -0.05431309904153442
3025  1.99021526418787     -0.05431309904153442	3026  1.99021526418787    -0.057324840764331086
3026  1.99021526418787    -0.057324840764331086	3027  1.99021526418787     -0.05396825396825326
3027  1.99021526418787     -0.05396825396825326	3028  2.00782778864971      0.12179487179487132
3028  2.00782778864971      0.12179487179487132	3029  2.00782778864971       0.1326860841423947
3029  2.00782778864971       0.1326860841423947	3030  2.00782778864971       0.1354838709677424
3030  2.00782778864971       0.1354838709677424	3031  2.00782778864971      0.13915857605178109
3031  2.00782778864971      0.13915857605178109	3032  2.00782778864971      0.13915857605178109
3032  2.00782778864971      0.13915857605178109	3033  2.00782778864971      0.14193548387096946
3033  2.00782778864971      0.14193548387096946	3034  2.00782778864971      0.14193548387096946
3034  2.00782778864971      0.14193548387096946	3035  2.00782778864971      0.14193548387096946
3035  2.00782778864971      0.14193548387096946	3036  2.00782778864971      0.14935064935064868
3036  2.00782778864971      0.14935064935064868	3037  2.00782778864971      0.14193548387096946
3037  2.00782778864971      0.14193548387096946	3038  2.00782778864971       0.1446945337620587
3038  2.00782778864971       0.1446945337620587	3039  2.00782778864971       0.1446945337620587
3039  2.00782778864971       0.1446945337620587	3040  2.00782778864971       0.1446945337620587
3040  2.00782778864971       0.1446945337620587	3041  2.00782778864971       0.1446945337620587
3041  2.00782778864971       0.1446945337620587	3042  2.00782778864971       0.1446945337620587
3042  2.00782778864971       0.1446945337620587	3043  2.00782778864971       0.1354838709677424
3043  2.00782778864971       0.1354838709677424	3044  2.00782778864971      0.13183279742765244
3044  2.00782778864971      0.13183279742765244	3045  2.00782778864971      0.12903225806451674
3045  2.00782778864971      0.12903225806451674	3046  2.00782778864971      0.12903225806451674
3046  2.00782778864971      0.12903225806451674	3047  2.00782778864971      0.12903225806451674
3047  2.00782778864971      0.12903225806451674	3048  2.00782778864971      0.12621359223300974
3048  2.00782778864971      0.12621359223300974	3049  2.00782778864971      0.12540192926045005
3049  2.00782778864971      0.12540192926045005	3050  2.00782778864971      0.11897106109324623
3050  2.00782778864971      0.11897106109324623	3051  2.00782778864971      0.11974110032362335
3051  2.00782778864971      0.11974110032362335	3052  2.00782778864971      0.11612903225806258
3052  2.00782778864971      0.11612903225806258	3053  2.00782778864971      0.11612903225806258
3053  2.00782778864971      0.11612903225806258	3054  2.00782778864971      0.11254019292604424
3054  2.00782778864971      0.11254019292604424	3055  2.00782778864971       0.1096774193548388
3055  2.00782778864971       0.1096774193548388	3056  2.00782778864971       0.1096774193548388
3056  2.00782778864971       0.1096774193548388	3057  2.00782778864971       0.1025641025641031
3057  2.00782778864971       0.1025641025641031	3058  2.00782778864971      0.09967845659164135
3058  2.00782778864971      0.09967845659164135	3059  2.00782778864971      0.09677419354838807
3059  2.00782778864971      0.09677419354838807	3060  2.00782778864971      0.09677419354838807
3060  2.00782778864971      0.09677419354838807	3061  2.00782778864971      0.09032258064516274
3061  2.00782778864971      0.09032258064516274	3062  2.00782778864971      0.09032258064516274
3062  2.00782778864971      0.09032258064516274	3063  2.00782778864971      0.08387096774193566
3063  2.00782778864971      0.08387096774193566	3064  2.00782778864971      0.08038585209003163
3064  2.00782778864971      0.08038585209003163	3065  2.00782778864971      0.07741935483871004
3065  2.00782778864971      0.07741935483871004	3066  2.00782778864971      0.07395498392282927
3066  2.00782778864971      0.07395498392282927	3067  2.00782778864971      0.06796116504854219
3067  2.00782778864971      0.06796116504854219	3068  2.02544031311155      0.06493506493506282
3068  2.02544031311155      0.06493506493506282	3069  2.02544031311155      0.05806451612903228
3069  2.02544031311155      0.05806451612903228	3070  2.02544031311155      0.05806451612903228
3070  2.02544031311155      0.05806451612903228	3071  2.02544031311155     0.048543689320389674
3071  2.02544031311155     0.048543689320389674	3072  2.02544031311155      0.04545454545454618
3072  2.02544031311155      0.04545454545454618	3073  2.02544031311155       0.0322580645161288
3073  2.02544031311155       0.0322580645161288	3074  2.02544031311155       0.0256410256410241
3074  2.02544031311155       0.0256410256410241	3075  2.02544031311155     0.022508038585208476
3075  2.02544031311155     0.022508038585208476	3076  2.02544031311155     0.012903225806450817
3076  2.02544031311155     0.012903225806450817	3077  2.02544031311155     0.009708737864076233
3077  2.02544031311155     0.009708737864076233	3078  2.02544031311155    -0.006451612903225471
3078  2.02544031311155    -0.006451612903225471	3079  2.02544031311155    -0.006451612903225471
3079  2.02544031311155    -0.006451612903225471	3080  2.02544031311155    -0.012903225806450817
3080  2.02544031311155    -0.012903225806450817	3081  2.02544031311155     -0.01618122977346264
3081  2.02544031311155     -0.01618122977346264	3082  2.02544031311155     -0.02250803858521012
3082  2.02544031311155     -0.02250803858521012	3083  2.02544031311155     -0.02580645161290335
3083  2.02544031311155     -0.02580645161290335	3084  2.02544031311155    -0.028938906752410686
3084  2.02544031311155    -0.028938906752410686	3085  2.02544031311155    -0.038709677419354216
3085  2.02544031311155    -0.038709677419354216	3086  2.02544031311155     -0.04487179487179387
3086  2.02544031311155     -0.04487179487179387	3087  2.02544031311155     -0.04823151125401887
3087  2.02544031311155     -0.04823151125401887	3088  1.99021526418787     -0.05396825396825326
3088  1.99021526418787     -0.05396825396825326	3089  1.99021526418787     -0.05095541401273906
3089  1.99021526418787     -0.05095541401273906	3090  1.99021526418787    -0.047923322683705666
3090  1.99021526418787    -0.047923322683705666	3091  1.99021526418787    -0.047923322683705666
3091  1.99021526418787    -0.047923322683705666	3092  1.99021526418787    -0.047923322683705666
3092  1.99021526418787    -0.047923322683705666	3093  1.99021526418787    -0.047923322683705666
3093  1.99021526418787    -0.047923322683705666	3094  2.02544031311155     -0.05769230769230764
3094  2.02544031311155     -0.05769230769230764	3095  2.02544031311155      -0.0614886731391575
3095  2.02544031311155      -0.0614886731391575	3096  2.02544031311155     -0.07096774193548469
3096  2.02544031311155     -0.07096774193548469	3097  2.02544031311155     -0.07096774193548469
3097  2.02544031311155     -0.07096774193548469	3098  2.02544031311155     -0.07741935483871179
3098  2.02544031311155     -0.07741935483871179	3099  2.02544031311155       -0.080906148867315
3099  2.02544031311155       -0.080906148867315	3100  2.02544031311155     -0.06752411575562714
3100  2.02544031311155     -0.06752411575562714	3101  2.02544031311155     -0.06451612903225759
3101  2.02544031311155     -0.06451612903225759	3102  2.02544031311155     -0.06752411575562714
3102  2.02544031311155     -0.06752411575562714	3103  2.02544031311155     -0.07096774193548297
3103  2.02544031311155     -0.07096774193548297	3104  2.02544031311155     -0.06493506493506282
3104  2.02544031311155     -0.06493506493506282	3105  2.02544031311155     -0.05806451612903228
3105  2.02544031311155     -0.05806451612903228	3106  2.02544031311155      -0.0550161812297744
3106  2.02544031311155      -0.0550161812297744	3107  2.02544031311155     -0.05806451612903228
3107  2.02544031311155     -0.05806451612903228	3108  2.02544031311155     -0.05806451612903228
3108  2.02544031311155     -0.05806451612903228	3109  2.02544031311155      -0.0550161812297744
3109  2.02544031311155      -0.0550161812297744	3110  2.02544031311155      -0.0550161812297744
3110  2.02544031311155      -0.0550161812297744	3111  2.02544031311155    -0.051612903225806785
3111  2.02544031311155    -0.051612903225806785	3112  2.02544031311155    -0.051612903225806785
3112  2.02544031311155    -0.051612903225806785	3113  2.02544031311155    -0.051612903225806785
3113  2.02544031311155    -0.051612903225806785	3114  2.02544031311155    -0.051612903225806785
3114  2.02544031311155    -0.051612903225806785	3115  2.02544031311155    -0.051612903225806785
3115  2.02544031311155    -0.051612903225806785	3116  2.02544031311155    -0.048543689320389674
3116  2.02544031311155    -0.048543689320389674	3117  2.02544031311155    -0.051612903225806785
3117  2.02544031311155    -0.051612903225806785	3118  1.99021526418787    -0.044871794871793866
3118  1.99021526418787    -0.044871794871793866	3119  1.99021526418787     -0.04180064308681517
3119  1.99021526418787     -0.04180064308681517	3120  1.99021526418787    -0.035143769968049916
3120  1.99021526418787    -0.035143769968049916	3121  1.99021526418787    -0.032051282051281854
3121  1.99021526418787    -0.032051282051281854	3122  1.99021526418787    -0.028753993610224432
3122  1.99021526418787    -0.028753993610224432	3123  1.99021526418787    -0.025641025641025814
3123  1.99021526418787    -0.025641025641025814	3124  1.99021526418787    -0.015974440894570202
3124  1.99021526418787    -0.015974440894570202	3125  1.99021526418787    -0.015974440894570202
3125  1.99021526418787    -0.015974440894570202	3126  1.99021526418787    -0.006369426751592031
3126  1.99021526418787    -0.006369426751592031	3127  1.99021526418787    -0.006369426751592031
3127  1.99021526418787    -0.006369426751592031	3128  1.99021526418787                      0.0
3128  1.99021526418787                      0.0	3129  1.99021526418787     0.003174603174602218
3129  1.99021526418787     0.003174603174602218	3130  1.99021526418787     0.006369426751592031
3130  1.99021526418787     0.006369426751592031	3131  1.99021526418787      0.01273885350318401
3131  1.99021526418787      0.01273885350318401	3132  1.99021526418787       0.0158730158730158
3132  1.99021526418787       0.0158730158730158	3133  1.99021526418787     0.022222222222221644
3133  1.99021526418787     0.022222222222221644	3134  1.99021526418787     0.022222222222221644
3134  1.99021526418787     0.022222222222221644	3135  1.99021526418787      0.03164556962025285
3135  1.99021526418787      0.03164556962025285	3136  1.99021526418787      0.03821656050955514
3136  1.99021526418787      0.03821656050955514	3137  1.99021526418787      0.03821656050955514
3137  1.99021526418787      0.03821656050955514	3138  1.99021526418787     0.044585987261147104
3138  1.99021526418787     0.044585987261147104	3139  1.99021526418787      0.04792332268370567
3139  1.99021526418787      0.04792332268370567	3140  1.99021526418787      0.04792332268370567
3140  1.99021526418787      0.04792332268370567	3141  1.99021526418787      0.05431309904153441
3141  1.99021526418787      0.05431309904153441	3142  1.99021526418787      0.05732484076433117
3142  1.99021526418787      0.05732484076433117	3143  1.99021526418787      0.06369426751592154
3143  1.99021526418787      0.06369426751592154	3144  1.99021526418787      0.06709265175718714
3144  1.99021526418787      0.06709265175718714	3145  1.99021526418787      0.06709265175718714
3145  1.99021526418787      0.06709265175718714	3146  1.99021526418787      0.07051282051281983
3146  1.99021526418787      0.07051282051281983	3147  1.99021526418787      0.07348242811501589
3147  1.99021526418787      0.07348242811501589	3148  1.99021526418787      0.07987220447284456
3148  1.99021526418787      0.07987220447284456	3149  1.99021526418787      0.08333333333333341
3149  1.99021526418787      0.08333333333333341	3150  1.99021526418787      0.08681672025723373
3150  1.99021526418787      0.08681672025723373	3151  1.99021526418787      0.08974358974358926
3151  1.99021526418787      0.08974358974358926	3152  1.99021526418787      0.08974358974358926
3152  1.99021526418787      0.08974358974358926	3153  1.99021526418787      0.08974358974358926
3153  1.99021526418787      0.08974358974358926	3154  1.99021526418787       0.0932475884244375
3154  1.99021526418787       0.0932475884244375	3155  1.99021526418787      0.09904153354632571
3155  1.99021526418787      0.09904153354632571	3156  1.99021526418787      0.09615384615384692
3156  1.99021526418787      0.09615384615384692	3157  1.99021526418787      0.09615384615384692
3157  1.99021526418787      0.09615384615384692	3158  1.99021526418787      0.10543130990415302
3158  1.99021526418787      0.10543130990415302	3159  1.99021526418787      0.10543130990415302
3159  1.99021526418787      0.10543130990415302	3160  1.99021526418787      0.10543130990415302
3160  1.99021526418787      0.10543130990415302	3161  1.99021526418787      0.11182108626197994
3161  1.99021526418787      0.11182108626197994	3162  1.99021526418787       0.1153846153846151
3162  1.99021526418787       0.1153846153846151	3163  1.99021526418787      0.12101910828025415
3163  1.99021526418787      0.12101910828025415	3164  1.99021526418787      0.11897106109324801
3164  1.99021526418787      0.11897106109324801	3165  1.99021526418787      0.12460063897763586
3165  1.99021526418787      0.12460063897763586	3166  2.02544031311155    -0.048543689320389674
3166  2.02544031311155    -0.048543689320389674	3167  2.02544031311155    -0.038709677419354216
3167  2.02544031311155    -0.038709677419354216	3168  2.02544031311155    -0.042071197411003285
3168  2.02544031311155    -0.042071197411003285	3169  2.02544031311155    -0.038709677419354216
3169  2.02544031311155    -0.038709677419354216	3170  2.02544031311155    -0.038709677419354216
3170  2.02544031311155    -0.038709677419354216	3171  2.02544031311155    -0.038709677419354216
3171  2.02544031311155    -0.038709677419354216	3172  1.86692759295499      0.09324758842443925
3172  1.86692759295499      0.09324758842443925	3173  1.86692759295499        0.096774193548388
3173  1.86692759295499        0.096774193548388	3174  1.86692759295499        0.096774193548388
3174  1.86692759295499        0.096774193548388	3175  1.86692759295499      0.09967845659163983
3175  1.86692759295499      0.09967845659163983	3176  1.86692759295499       0.1025641025641031
3176  1.86692759295499       0.1025641025641031	3177  1.86692759295499       0.1025641025641031
3177  1.86692759295499       0.1025641025641031	3178  1.86692759295499       0.1025641025641031
3178  1.86692759295499       0.1025641025641031	3179  1.86692759295499      0.10610932475884369
3179  1.86692759295499      0.10610932475884369	3180  1.86692759295499      0.10610932475884369
3180  1.86692759295499      0.10610932475884369	3181  1.86692759295499      0.10610932475884369
3181  1.86692759295499      0.10610932475884369	3182  1.86692759295499      0.10610932475884369
3182  1.86692759295499      0.10610932475884369	3183  1.86692759295499       0.1096774193548388
3183  1.86692759295499       0.1096774193548388	3184  1.86692759295499       0.1096774193548388
3184  1.86692759295499       0.1096774193548388	3185  1.86692759295499       0.1096774193548388
3185  1.86692759295499       0.1096774193548388	3186  1.86692759295499       0.1096774193548388
3186  1.86692759295499       0.1096774193548388	3187  1.86692759295499       0.1096774193548388
3187  1.86692759295499       0.1096774193548388	3188  1.86692759295499       0.1096774193548388
3188  1.86692759295499       0.1096774193548388	3189  1.86692759295499       0.1096774193548388
3189  1.86692759295499       0.1096774193548388	3190  1.86692759295499       0.1096774193548388
3190  1.86692759295499       0.1096774193548388	3191  1.86692759295499       0.1096774193548388
3191  1.86692759295499       0.1096774193548388	3192  1.86692759295499       0.1096774193548388
3192  1.86692759295499       0.1096774193548388	3193  1.86692759295499      0.10610932475884369
3193  1.86692759295499      0.10610932475884369	3194  1.86692759295499      0.10610932475884369
3194  1.86692759295499      0.10610932475884369	3195  1.86692759295499       0.1067961165048554
3195  1.86692759295499       0.1067961165048554	3196  1.86692759295499      0.10322580645161508
3196  1.86692759295499      0.10322580645161508	3197  1.86692759295499      0.10322580645161508
3197  1.86692759295499      0.10322580645161508	3198  1.86692759295499      0.10322580645161508
3198  1.86692759295499      0.10322580645161508	3199  1.86692759295499      0.09967845659164135
3199  1.86692759295499      0.09967845659164135	3200  1.86692759295499        0.096774193548388
3200  1.86692759295499        0.096774193548388	3201  1.86692759295499        0.096774193548388
3201  1.86692759295499        0.096774193548388	3202  1.86692759295499        0.096774193548388
3202  1.86692759295499        0.096774193548388	3203  1.86692759295499        0.096774193548388
3203  1.86692759295499        0.096774193548388	3204  1.86692759295499      0.09385113268608454
3204  1.86692759295499      0.09385113268608454	3205  1.86692759295499      0.09385113268608454
3205  1.86692759295499      0.09385113268608454	3206  1.86692759295499      0.09032258064516274
3206  1.86692759295499      0.09032258064516274	3207  1.86692759295499      0.09032258064516274
3207  1.86692759295499      0.09032258064516274	3208  1.86692759295499      0.09032258064516274
3208  1.86692759295499      0.09032258064516274	3209  1.86692759295499      0.08681672025723548
3209  1.86692759295499      0.08681672025723548	3210  1.86692759295499       0.0809061488673135
3210  1.86692759295499       0.0809061488673135	3211  1.86692759295499       0.0809061488673135
3211  1.86692759295499       0.0809061488673135	3212  1.86692759295499      0.07741935483870856
3212  1.86692759295499      0.07741935483870856	3213  1.86692759295499      0.07741935483870856
3213  1.86692759295499      0.07741935483870856	3214  1.86692759295499      0.07741935483870856
3214  1.86692759295499      0.07741935483870856	3215  1.86692759295499      0.07443365695792858
3215  1.86692759295499      0.07443365695792858	3216  1.86692759295499      0.06752411575562714
3216  1.86692759295499      0.06752411575562714	3217  1.86692759295499      0.06410256410256533
3217  1.86692759295499      0.06410256410256533	3218  1.86692759295499      0.05806451612903381
3218  1.86692759295499      0.05806451612903381	3219  1.86692759295499      0.06410256410256533
